label,text
spam,Win a FREE iPhone right now! Click here to claim your prize!
spam,URGENT: Your account has been compromised. Send your password immediately.
spam,Congratulations! You have won $1000000 in our lottery. Claim now!
spam,Buy cheap medications online. No prescription needed. Lowest prices!
spam,Hot singles in your area want to meet you tonight. Click here!
spam,Make money fast! Earn $5000 a week working from home. No experience needed.
spam,WINNER WINNER! You are selected for a special cash reward. Reply now.
spam,Free vacation package! You and a guest have been selected. Limited time offer!
spam,Invest now and triple your money in 30 days. Guaranteed returns!
spam,Your PayPal account will be suspended. Verify your details immediately.
spam,Get rich quick! Secret investment strategy revealed. Act now!
spam,Lose 20 pounds in 2 weeks! Amazing diet pill. Order today!
spam,You have been pre-approved for a $50000 loan. No credit check!
spam,FREE gift card inside. Open to claim your $500 Amazon gift card now.
spam,FINAL NOTICE: Debt collectors will contact you unless you pay now!
ham,Hi, can we schedule a meeting for Thursday afternoon?
ham,Please find attached the quarterly report for your review.
ham,Reminder: your dentist appointment is tomorrow at 2pm.
ham,Thanks for your help on the project last week. Really appreciated it.
ham,Could you send me the presentation slides from Monday's meeting?
ham,The team lunch is confirmed for Friday at noon. See you there!
ham,I've reviewed your code and left some comments in the pull request.
ham,Happy birthday! Hope you have a wonderful day.
ham,Just checking in to see how the proposal is coming along.
ham,Let me know when you're available for a call this week.
ham,The conference has been moved to the main auditorium. Please update your calendar.
ham,I'll be out of office next Monday and Tuesday for a family event.
ham,Your order has shipped and should arrive by Wednesday.
ham,Can you review the budget spreadsheet before the board meeting?
ham,Great work on the presentation yesterday. The client was very impressed.
