label,text
positive,Just received my order and it's even better than expected! Absolutely love it 😍
positive,Amazing customer service! They resolved my issue in minutes. Will definitely come back.
positive,This is the best app I've ever used. So intuitive and fast!
positive,Can't believe how good this product is. Totally worth every penny.
positive,Had a wonderful experience at the restaurant tonight. Food was excellent!
positive,The new update is fantastic! Everything works so much smoother now.
positive,So happy with my purchase. The quality is outstanding.
positive,Great packaging and super fast delivery. Impressed!
positive,This coffee maker is perfect. Best morning ritual ever.
positive,Loved the movie! The plot twist at the end was brilliant.
positive,Five stars! Exceeded all my expectations.
positive,Incredible performance at the concert last night. Unforgettable!
positive,The customer support team is phenomenal. Fixed everything quickly.
positive,Highly recommend this book. Changed the way I think about data.
positive,Beautiful design and works exactly as advertised. Very happy.
negative,This is the worst product I have ever bought. Broke on the first day.
negative,Absolutely terrible customer service. They ignored my emails for a week.
negative,Do NOT buy this. Total waste of money. Cheap quality and false advertising.
negative,The app keeps crashing and no one responds to bug reports. Useless.
negative,Delivery was 2 weeks late and the item arrived damaged. Unacceptable.
negative,I regret this purchase. The product looks nothing like the photos.
negative,Horrible experience. The restaurant was dirty and the food was cold.
negative,This software is full of bugs. It corrupted my files. Avoid at all costs.
negative,Fake reviews everywhere. The product is garbage. Very disappointed.
negative,Worst purchase of my life. Returned it immediately.
negative,The battery dies after 30 minutes. Complete junk.
negative,I've never been so frustrated with a product. Terrible design.
negative,Charged my card twice and customer service won't refund me. Outrageous.
negative,Poor build quality. Fell apart after one week of normal use.
negative,The instructions make no sense and the product doesn't work as described.
neutral,The package arrived today. Contents appear to match the description.
neutral,I used the product for the first time. It works as expected.
neutral,The restaurant was okay. Food was average for the price.
neutral,Delivery took the estimated time. Product is what I ordered.
neutral,The interface is straightforward. Does what it says.
neutral,Nothing special but nothing wrong either. Gets the job done.
neutral,Average experience. Would not go out of my way to recommend or avoid it.
neutral,The product has some good features and some limitations. Acceptable overall.
neutral,Used it twice now. Works as described. No major issues.
neutral,Standard quality for this price range. As expected.
